 #PTEnvel2

#bubble        
      145.00000000,   4394.71677088
      170.27925447,   2467.08521954
      189.40801784,   1905.13869997
      205.94303428,   1627.53270319
      219.55079706,   1474.40162870
      234.09207790,   1356.49188800
      249.42029549,   1265.60937061
      265.36176979,   1195.22997500
      281.74479048,   1140.16805079
      298.42284587,   1096.37147595
      315.28607907,   1060.74386634
      332.26193014,   1030.96577365
      349.30934492,   1005.32336189
      366.41083120,    982.55871539
      383.56493518,    961.74913940
      400.78018401,    942.21523286
      418.07061436,    923.45346682
      435.45263748,    905.08784559
      452.94289325,    886.83570444
      470.55679224,    868.48366458
      488.30751248,    849.87078287
      506.20528706,    830.87676443
      524.25687446,    811.41373012
      542.46514190,    791.42048293
      560.82872215,    770.85852568
      579.34172399,    749.70929742
      597.99348963,    727.97223744
      616.76840610,    705.66338759
      635.64578071,    682.81430464
      654.59979996,    659.47110307
      673.59959243,    635.69348271
      692.60941702,    611.55362378
      711.58899935,    587.13485600
      730.49403020,    562.53004100
      749.27684195,    537.83962825
      767.88726175,    513.16938643
      786.27363706,    488.62783786
      804.38401519,    464.32345924
      822.16744926,    440.36173790
      839.57539533,    416.84219062
      856.56316146,    393.85545659
      873.09137107,    371.48056693
      889.12741680,    349.78245091
      904.64689738,    328.80969549
      919.63506769,    308.59248215
      934.08839047,    289.14049112
      944.58254833,    275.04660879
      952.26457927,    264.74528914
      959.79153639,    254.66389020
      967.17149731,    244.78902499
      972.61615593,    237.50809557
      977.98928103,    230.32452090
      981.97594896,    224.99425099
      985.92898976,    219.70729799
      989.85185847,    214.45754622
      992.77652986,    210.54047531
      995.68821552,    206.63710177
      998.58888457,    202.74375408
     1000.75843955,    199.82788958
     1002.92396777,    196.91350325
     1004.54608953,    194.72746514
     1006.16698158,    192.54019675
     1007.78711903,    190.35072129
     1009.35015003,    188.23501995
     1010.91340512,    186.11530802
     1012.47736159,    183.99054043
     1014.04247801,    181.85965748


#dew           
     1015.21676817,    180.25762215
     1017.71948251,    176.83283104
     1018.32096573,    176.00675996
     1018.81577359,    175.32757714
     1019.52901211,    174.34675492
     1021.10615531,    172.17232897
     1022.68748742,    169.98426711
     1024.27358758,    167.78091481
     1025.86503137,    165.56052353
     1027.46239353,    163.32123140
     1029.06621959,    161.06108547
     1030.67705648,    158.77798215
     1032.29541188,    156.46970487
     1033.92175125,    154.13390157
     1035.55648375,    151.76807819
     1037.19994449,    149.36959187
     1038.85237351,    146.93564379
     1040.51389081,    144.46327194
     1042.18446677,    141.94934383
     1043.86388692,    139.39054916
     1045.55171029,    136.78339244
     1047.24722016,    134.12418560
     1048.94936560,    131.40904045
     1050.65669234,    128.63386097
     1052.36726081,    125.79433521
     1054.07854860,    122.88592661
     1055.78733415,    119.90386461
     1057.48955776,    116.84313368
     1059.18015369,    113.69846096
     1060.85284727,    110.46430120
     1062.49990648,    107.13481858
     1064.11183616,    103.70386416
     1065.67699657,    100.16494792
     1067.13372363,     96.63093460
     1068.43275957,     93.21629525
     1069.57915788,     89.91692055
     1070.57794161,     86.72896041
     1071.43410524,     83.64875971
     1072.15260615,     80.67281569
     1072.73835225,     77.79774928
     1073.19618579,     75.02028812
     1073.53086850,     72.33725567
     1073.74706751,     69.74556509
     1073.84934321,     67.24221598
     1073.84213908,     64.82429312
     1073.72977468,     62.48896522
     1073.51643953,     60.23348518
     1073.20618976,     58.05518954
     1072.80294658,     55.95149809
     1072.31049546,     53.91991328
     1071.73248728,     51.95801916
     1071.07244017,     50.06348015
     1070.33374185,     48.23403972
     1069.51965356,     46.46751812
     1068.63331300,     44.76181095
     1067.67773870,     43.11488677
     1066.65583422,     41.52478493
     1065.57039240,     39.98961324
     1064.42409981,     38.50754563
     1063.21954105,     37.07681974
     1061.95920307,     35.69573462
     1060.64547938,     34.36264830
     1059.28067412,     33.07597555
     1057.86700599,     31.83418562
     1056.40661206,     30.63580004
     1054.90155136,     29.47939056
     1053.35380837,     28.36357704
     1051.76529628,     27.28702561
     1050.13786027,     26.24844659
     1048.47327975,     25.24659328
     1046.77327242,     24.28025937
     1045.03949592,     23.34827801
     1043.27355061,     22.44952005
     1041.47698193,     21.58289260
     1039.65128266,     20.74733763
     1037.79789494,     19.94183067
     1035.91821231,     19.16537956
     1034.01358153,     18.41702327
     1032.08530433,     17.69583077
     1030.13463913,     17.00089999
     1028.16280251,     16.33135681
     1026.17097075,     15.68635408
     1024.16028123,     15.06507075
     1022.13183372,     14.46671098
     1020.08669183,     13.89050325
     1018.02588338,     13.33570002
     1015.95040304,     12.80157612
     1013.86121206,     12.28742886
     1011.75923981,     11.79257699
     1009.64538475,     11.31636011
     1007.52051532,     10.85813805
     1005.38547085,     10.41729029
     1003.24106239,      9.99321538
     1001.08807356,      9.58533037
      998.92726140,      9.19307027
      996.75935649,      8.81588792
      994.58506519,      8.45325260
      992.40506864,      8.10465051
      989.12580888,      7.60697499
      985.83730891,      7.13814321
      982.54157884,      6.69661646
      979.24052092,      6.28092892
      975.93593398,      5.88968464
      972.62951771,      5.52155474
      969.32287668,      5.17527459
      966.01752376,      4.84964154
      962.71488521,      4.54351160
      959.41630279,      4.25579781
      956.12303807,      3.98546746
      952.83627569,      3.73153990
      949.55712661,      3.49308427
      946.28663131,      3.26921743
      943.02576285,      3.05910184
      938.15448128,      2.76798679
      933.30970017,      2.50352984
      928.49393903,      2.26342233
      923.70944608,      2.04553955
      918.95821928,      1.84792708
      914.24202253,      1.66878974
      909.56240358,      1.50647988
      904.92071026,      1.35948665
      900.31810586,      1.22642590
      895.75558360,      1.10603067
