 #NanoPTEnvel2

#bubble        
      145.00000000,   3491.75688497,   3483.44265248,      8.31423249
      145.19035099,   3473.10163334,   3464.77866938,      8.32296396
      145.38228941,   3454.49652515,   3446.16475343,      8.33177172
      145.57583464,   3435.94156155,   3427.60090481,      8.34065673
      145.77100643,   3417.43674372,   3409.08712372,      8.34962000
      145.96782488,   3398.98207285,   3390.62341032,      8.35866253
      146.16631046,   3380.57755015,   3372.20976481,      8.36778534
      146.36648397,   3362.22317685,   3353.84618737,      8.37698948
      146.56836662,   3343.91895420,   3335.53267818,      8.38627602
      146.77197997,   3325.66488347,   3317.26923744,      8.39564604
      146.97734598,   3307.46096596,   3299.05586532,      8.40510063
      147.18448699,   3289.30720296,   3280.89256203,      8.41464093
      147.39342576,   3271.20359582,   3262.77932775,      8.42426808
      147.60406681,   3253.16024808,   3244.72627032,      8.43397776
      147.81572474,   3235.23650803,   3226.79276957,      8.44373847
      148.02911497,   3217.37243180,   3208.91884855,      8.45358325
      148.24212468,   3199.74352537,   3191.28011070,      8.46341467
      148.45758951,   3182.11473651,   3173.64137286,      8.47336366
      148.67338395,   3164.66060812,   3156.17727598,      8.48333214
      148.89167396,   3147.20659935,   3138.71317911,      8.49342025
      149.10958304,   3129.98236807,   3121.47887298,      8.50349510
      149.33001235,   3112.75825773,   3104.24456685,      8.51369088
      149.55078767,   3095.70480452,   3087.18089741,      8.52390711
      149.77412519,   3078.65147438,   3070.11722798,      8.53424640
      149.99708213,   3061.82265310,   3053.27808051,      8.54457259
      150.22262708,   3044.99395626,   3036.43893304,      8.55502322
      150.44853563,   3028.33200510,   3019.76650981,      8.56549529
      150.67707578,   3011.67018061,   3003.09408657,      8.57609403
      150.90523644,   2995.22771718,   2986.64103733,      8.58667986
      151.13609607,   2978.78538172,   2970.18798808,      8.59739364
      151.36728296,   2962.50597045,   2953.89784031,      8.60813014
      151.60117884,   2946.22668958,   2937.60769255,      8.61899704
      151.83470071,   2930.16174006,   2921.53188883,      8.62985124
      152.07095718,   2914.09692245,   2905.45608511,      8.64083734
      152.30761801,   2898.19129490,   2889.53944777,      8.65184713
      152.54705926,   2882.28580167,   2873.62281042,      8.66299125
      152.78691999,   2866.53792347,   2857.86376354,      8.67415992
      153.02798945,   2850.89447131,   2842.20908122,      8.68539009
      153.27028156,   2835.35475441,   2826.65807228,      8.69668213
      153.51543112,   2819.81517593,   2811.10706335,      8.70811259
      153.76102189,   2804.42959368,   2795.71002480,      8.71956889
      154.00786561,   2789.14604232,   2780.41495339,      8.73108892
      154.25596968,   2773.96384696,   2765.22117385,      8.74267311
      154.50701385,   2758.78179430,   2750.02739431,      8.75439999
      154.75769177,   2743.79964810,   2735.03353292,      8.76611518
      155.01134265,   2728.81764634,   2720.03967153,      8.77797481
      155.26548928,   2713.98412630,   2705.19426421,      8.78986209
      155.52090456,   2699.24898723,   2690.44717085,      8.80181638
      155.77938473,   2684.51399624,   2675.70007749,      8.81391875
      156.03837272,   2669.92504500,   2661.09899495,      8.82605005
      156.29869015,   2655.43285877,   2646.59460832,      8.83825045
      156.56038175,   2641.03679764,   2632.18627724,      8.85052040
      156.82520645,   2626.64088933,   2617.77794615,      8.86294318
      157.09059639,   2612.38766832,   2603.51227181,      8.87539651
      157.35820032,   2598.18195518,   2589.29399174,      8.88796345
      157.62637810,   2584.11704819,   2575.21648671,      8.90056148
      157.89778554,   2570.05229900,   2561.13898169,      8.91331731
      158.16976210,   2556.12696333,   2547.20085790,      8.92610543
      158.44408350,   2542.24805133,   2533.30904018,      8.93901115
      158.71898222,   2528.50671494,   2519.55476520,      8.95194975
      158.99814748,   2514.71958478,   2505.75448930,      8.96509548
      159.27791562,   2501.06912581,   2492.09084980,      8.97827601
      159.55827884,   2487.55398486,   2478.56249386,      8.99149100
      159.84110738,   2474.08391133,   2465.07908262,      9.00482871
      160.12551258,   2460.70321166,   2451.68496549,      9.01824617
      160.41239707,   2447.36713605,   2438.33534710,      9.03178895
      160.69992516,   2434.16327140,   2425.11790314,      9.04536826
      160.99000732,   2421.00344574,   2411.94437096,      9.05907479
      161.28170376,   2407.93094504,   2398.85808071,      9.07286434
      161.57600631,   2394.90205045,   2385.81526651,      9.08678395
      161.87098126,   2382.00233133,   2372.90158908,      9.10074225
      162.16859770,   2369.14564675,   2360.03081424,      9.11483252
      162.46889476,   2356.33185621,   2347.20279944,      9.12905676
      162.76990000,   2343.64511635,   2334.50179470,      9.14332165
      163.07362333,   2331.00070851,   2321.84298598,      9.15772253
      163.37807001,   2318.48167690,   2309.30951200,      9.17216491
      163.68734087,   2305.92096353,   2296.73412005,      9.18684349
      163.99740737,   2293.48480307,   2284.28323693,      9.20156614
      164.30819740,   2281.17196213,   2271.95562988,      9.21633226
      164.62183393,   2268.90021912,   2259.66897833,      9.23124079
      164.93835636,   2256.66944019,   2247.42314623,      9.24629396
      165.25568528,   2244.55995303,   2235.29855999,      9.26139304
      165.57594025,   2232.49089380,   2223.21425476,      9.27663903
      165.89916595,   2220.46213099,   2211.17009673,      9.29203426
      166.22324129,   2208.55266559,   2199.24518779,      9.30747780
      166.55033240,   2196.68296947,   2187.35989649,      9.32307298
      166.87938611,   2184.89208548,   2175.55331572,      9.33876976
      167.21152623,   2173.14058135,   2163.78595948,      9.35462187
      167.54568411,   2161.46711121,   2152.09653275,      9.37057846
      167.88187765,   2149.87115994,   2140.48451944,      9.38664050
      168.22012505,   2138.35221585,   2128.94940688,      9.40280897
      168.56158267,   2126.87175624,   2117.45261695,      9.41913930
